Number of Records,Franchise ID,Lg ID,Name First,Name Given,Name Last,playerID (Master.csv),Player ID,Pos Team ID,Starting Pos,Team ID,Year ID
1,CIN,NL,John,John Anthony,Franco,francjo01,francjo01,CIN,,CIN,1987
1,LAD,NL,Pedro,Pedro,Guerrero,guerrpe01,guerrpe01,LAN,,LAN,1987
1,SDP,NL,Tony,Anthony Keith,Gwynn,gwynnto01,gwynnto01,SDN,,SDN,1987
1,NYM,NL,Keith,Keith,Hernandez,hernake01,hernake01,NYN,,NYN,1987
1,LAD,NL,Orel,Orel Leonard,Hershiser,hershor01,hershor01,LAN,,LAN,1987
1,SFG,NL,Jeffrey,Jeffrey,Leonard,leonaje01,leonaje01,SFN,,SFN,1987
1,STL,NL,Willie,Willie Dean,McGee,mcgeewi01,mcgeewi01,SLN,,SLN,1987
1,ATL,NL,Dale,Dale Bryan,Murphy,murphda05,murphda05,ATL,,ATL,1987
1,WSN,NL,Tim,Timothy,Raines,raineti01,raineti01,MON,,MON,1987
1,PIT,NL,Rick,Rickey Eugene,Reuschel,reuscri01,reuscri01,PIT,,PIT,1987
1,PHI,NL,Juan,Juan Milton,Samuel,samueju01,samueju01,PHI,,PHI,1987
1,CHC,NL,Lee,Lee Arthur,Smith,smithle02,smithle02,CHN,,CHN,1987
1,CHC,NL,Rick,Richard Lee,Sutcliffe,sutclri01,sutclri01,CHN,,CHN,1987
1,ATL,NL,Ozzie,Osvaldo Jose,Virgil,virgioz02,virgioz02,ATL,,ATL,1987
1,WSN,NL,Tim,Timothy Charles,Wallach,wallati01,wallati01,MON,,MON,1987
1,MIN,AL,Frank,Frank John,Viola,violafr01,violafr01,MIN,1,MIN,1988
1,OAK,AL,Terry,Terry Lee,Steinbach,steinte01,steinte01,OAK,2,OAK,1988
1,OAK,AL,Mark,Mark David,McGwire,mcgwima01,mcgwima01,OAK,3,OAK,1988
1,MIL,AL,Paul,Paul Leo,Molitor,molitpa01,molitpa01,ML4,4,ML4,1988
1,BOS,AL,Wade,Wade Anthony,Boggs,boggswa01,boggswa01,BOS,5,BOS,1988
1,BAL,AL,Cal,Calvin Edwin,Ripken,ripkeca01,ripkeca01,BAL,6,BAL,1988
1,OAK,AL,Jose,Jose,Canseco,cansejo01,cansejo01,OAK,7,OAK,1988
1,NYY,AL,Rickey,Rickey Nelson Henley,Henderson,henderi01,henderi01,NYA,8,NYA,1988
1,NYY,AL,Dave,David Mark,Winfield,winfida01,winfida01,NYA,9,NYA,1988
1,DET,AL,Doyle,Doyle Lafayette,Alexander,alexado01,alexado01,DET,,DET,1988
1,KCR,AL,George,George Howard,Brett,brettge01,brettge01,KCA,,KCA,1988
1,BOS,AL,Roger,William Roger,Clemens,clemero02,clemero02,BOS,,BOS,1988
1,OAK,AL,Dennis,Dennis Lee,Eckersley,eckerde01,eckerde01,OAK,,OAK,1988
1,MIN,AL,Gary,Gary Joseph,Gaetti,gaettga01,gaettga01,MIN,,MIN,1988
1,BOS,AL,Mike,Michael Lewis,Greenwell,greenmi01,greenmi01,BOS,,BOS,1988
1,KCR,AL,Mark,Mark Steven,Gubicza,gubicma01,gubicma01,KCA,,KCA,1988
1,CHW,AL,Ozzie,Oswaldo Jose,Guillen,guilloz01,guilloz01,CHA,,CHA,1988
1,CLE,AL,Doug,Douglas Reid,Jones,jonesdo01,jonesdo01,CLE,,CLE,1988
1,OAK,AL,Carney,Carney Ray,Lansford,lansfca01,lansfca01,OAK,,OAK,1988
1,MIN,AL,Tim,Timothy Jon,Laudner,laudnti01,laudnti01,MIN,,MIN,1988
1,NYY,AL,Don,Donald Arthur,Mattingly,mattido01,mattido01,NYA,,NYA,1988
1,MIL,AL,Dan,Daniel Thomas,Plesac,plesada01,plesada01,ML4,,ML4,1988
1,MIN,AL,Kirby,Kirby,Puckett,puckeki01,puckeki01,MIN,,MIN,1988
1,ANA,AL,Johnny,John Cornelius,Ray,rayjo01,rayjo01,CAL,,CAL,1988
1,MIN,AL,Jeff,Jeffrey James,Reardon,reardje01,reardje01,MIN,,MIN,1988
1,SEA,AL,Harold,Harold Craig,Reynolds,reynoha01,reynoha01,SEA,,SEA,1988
1,TEX,AL,Jeff,Jeffrey Lee,Russell,russeje01,russeje01,TEX,,TEX,1988
1,TOR,AL,Dave,David Andrew,Stieb,stiebda01,stiebda01,TOR,,TOR,1988
1,KCR,AL,Kurt,Kurt Andrew,Stillwell,stillku01,stillku01,KCA,,KCA,1988
1,DET,AL,Alan,Alan Stuart,Trammell,trammal01,trammal01,DET,,DET,1988
1,NYM,NL,Dwight,Dwight Eugene,Gooden,goodedw01,goodedw01,NYN,1,NYN,1988
1,NYM,NL,Gary,Gary Edmund,Carter,cartega01,cartega01,NYN,2,NYN,1988
1,SFG,NL,Will,William Nuschler,Clark,clarkwi02,clarkwi02,SFN,3,SFN,1988
1,CHC,NL,Ryne,Ryne Dee,Sandberg,sandbry01,sandbry01,CHN,4,CHN,1988
1,PIT,NL,Bobby,Roberto Martin Antonio,Bonilla,bonilbo01,bonilbo01,PIT,5,PIT,1988
1,STL,NL,Ozzie,Osborne Earl,Smith,smithoz01,smithoz01,SLN,6,SLN,1988
1,STL,NL,Vince,Vincent Maurice,Coleman,colemvi01,colemvi01,SLN,7,SLN,1988
1,CHC,NL,Andre,Andre Nolan,Dawson,dawsoan01,dawsoan01,CHN,8,CHN,1988
1,NYM,NL,Darryl,Darryl Eugene,Strawberry,strawda01,strawda01,NYN,9,NYN,1988
1,NYM,NL,David,David Brian,Cone,coneda01,coneda01,NYN,,NYN,1988
1,SDP,NL,Mark,Mark William,Davis,davisma01,davisma01,SDN,,SDN,1988
1,CHC,NL,Shawon,Shawon Donnell,Dunston,dunstsh01,dunstsh01,CHN,,CHN,1988
1,WSN,NL,Andres,Andres Jose,Galarraga,galaran01,galaran01,MON,,MON,1988
1,PHI,NL,Kevin,Kevin Frank,Gross,grosske01,grosske01,PHI,,PHI,1988
1,LAD,NL,Orel,Orel Leonard,Hershiser,hershor01,hershor01,LAN,,LAN,1988
1,CIN,NL,Danny,Danny Lynn,Jackson,jacksda02,jacksda02,CIN,,CIN,1988
1,HOU,NL,Bob,Robert Wesley,Knepper,kneppbo01,kneppbo01,HOU,,HOU,1988
1,CIN,NL,Barry,Barry Louis,Larkin,larkiba01,larkiba01,CIN,,CIN,1988
1,CHC,NL,Vance,Vance Aaron,Law,lawva01,lawva01,CHN,,CHN,1988
1,CHC,NL,Greg,Gregory Alan,Maddux,maddugr01,maddugr01,CHN,,CHN,1988
1,STL,NL,Willie,Willie Dean,McGee,mcgeewi01,mcgeewi01,SLN,,SLN,1988
1,CHC,NL,Rafael,Rafael,Palmeiro,palmera01,palmera01,CHN,,CHN,1988
1,PHI,NL,Lance,Lance Michael,Parrish,parrila02,parrila02,PHI,,PHI,1988
